id_ibge_cidade;cidade;populacao_2021;idh;pib;pib_per_capta;salario_medio_mensal;microrregiao;mesorregiao;regiao_imediata;regiao_intermediaria;estado;regiao
2933208;Vera Cruz;37567;0.645;527179.44;12196.73;1.7;Salvador;Metropolitana de Salvador;Nazaré - Maragogipe;Santo Antônio de Jesus;Bahia;Nordeste
2900504;Érico Cardoso;10859;0.584;69608.97;6560.69;1.5;Livramento do Brumado;Centro Sul Baiano;Brumado;Vitória da Conquista;Bahia;Nordeste
2922250;Muquém do São Francisco;10272;0.549;181298.78;15976.28;2.3;Barra;Vale São-Franciscano da Bahia;Xique-Xique - Barra;Irecê;Bahia;Nordeste
2931608;Teolândia;14836;0.555;182460.34;12210.42;2.0;Ilhéus-Itabuna;Sul Baiano;Ipiaú;Vitória da Conquista;Bahia;Nordeste
2931707;Terra Nova;12803;0.578;117263.24;8997.41;1.6;Catu;Metropolitana de Salvador;Salvador;Salvador;Bahia;Nordeste
2906808;Cansanção;32908;0.557;285990.5;8210.1;1.7;Euclides da Cunha;Nordeste Baiano;Euclides da Cunha;Paulo Afonso;Bahia;Nordeste
2906709;Cândido Sales;27918;0.601;210362.61;8351.37;2.1;Vitória da Conquista;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2900801;Alcobaça;21271;0.608;288598.8;12843.74;1.7;Porto Seguro;Sul Baiano;Teixeira de Freitas;Ilhéus - Itabuna;Bahia;Nordeste
2920700;Maraú;19101;0.593;250044.83;12155.8;1.7;Valença;Sul Baiano;Ilhéus - Itabuna;Ilhéus - Itabuna;Bahia;Nordeste
2922805;Nova Itarana;7435;0.524;56258.37;6839.09;1.4;Jequié;Centro Sul Baiano;Santo Antônio de Jesus;Santo Antônio de Jesus;Bahia;Nordeste
2924678;Piraí do Norte;9799;0.533;93889.19;9367.37;1.7;Valença;Sul Baiano;Ipiaú;Vitória da Conquista;Bahia;Nordeste
2900405;Água Fria;15731;0.55;131044.52;7722.13;2.3;Feira de Santana;Centro Norte Baiano;Feira de Santana;Feira de Santana;Bahia;Nordeste
2901205;Anagé;25516;0.54;185459.95;8428.08;1.8;Vitória da Conquista;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2931301;Tapiramutá;16516;0.594;111467.48;6553.06;1.8;Itaberaba;Centro Norte Baiano;Jacobina;Feira de Santana;Bahia;Nordeste
2919306;Lençóis;10368;0.623;129236.88;11327.63;1.8;Seabra;Centro Sul Baiano;Seabra;Feira de Santana;Bahia;Nordeste
2914307;Iramaia;11990;0.571;85486.93;10013.7;1.7;Jequié;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2902906;Barra do Choça;34788;0.551;393203.2;12441.96;2.3;Vitória da Conquista;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2921302;Milagres;10306;0.622;109630.58;10011.93;1.6;Jequié;Centro Sul Baiano;Santo Antônio de Jesus;Santo Antônio de Jesus;Bahia;Nordeste
2933059;Várzea da Roça;13786;0.539;95532.93;6773.46;1.8;Itaberaba;Centro Norte Baiano;Feira de Santana;Feira de Santana;Bahia;Nordeste
2925105;Poções;44701;0.604;500059.66;10668.85;1.9;Vitória da Conquista;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2920502;Maracás;24613;0.607;445095.9;21363.92;1.9;Jequié;Centro Sul Baiano;Jequié;Vitória da Conquista;Bahia;Nordeste
2904308;Brejões;14282;0.597;122241.71;8551.36;1.8;Jequié;Centro Sul Baiano;Santo Antônio de Jesus;Santo Antônio de Jesus;Bahia;Nordeste
2923605;Paramirim;21001;0.615;238213.55;11024.83;1.9;Livramento do Brumado;Centro Sul Baiano;Brumado;Vitória da Conquista;Bahia;Nordeste
2928604;Santo Amaro;57800;0.646;842429.4;14024.36;1.9;Santo Antônio de Jesus;Metropolitana de Salvador;Salvador;Salvador;Bahia;Nordeste
2908804;Contendas do Sincorá;4663;0.577;42285.97;10399.89;1.7;Seabra;Centro Sul Baiano;Vitória da Conquista;Vitória da Conquista;Bahia;Nordeste
2906824;Canudos;15732;0.562;132498.52;7949.27;1.9;Euclides da Cunha;Nordeste Baiano;Euclides da Cunha;Paulo Afonso;Bahia;Nordeste
2910750;Fátima;17652;0.559;213111.66;11912.33;2.2;Ribeira do Pombal;Nordeste Baiano;Cícero Dantas;Paulo Afonso;Bahia;Nordeste
